Ballypatrick Forest
Location 3176E 4386N (Irish Grid) 156m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1999   3    9.0     3.2       3    57.8    ---
   1999   4   10.6     4.8       5   119.8    ---
   1999   5   ---     ---     ---     54.8    ---
   1999   6   14.6     8.1       0    80.2    ---
   1999   7   18.2    11.0       0    54.0    ---
   1999   8   16.4    10.6       0    74.6    ---
   1999   9   16.2    10.6       0   212.2    ---
   1999  10   12.2     7.8       0    78.4    ---
   1999  11    9.4     4.8       1   136.6    ---
   1999  12    6.5     1.9       2   300.2    ---
   2000   1    7.2     2.7       4    65.8    ---
   2000   2    7.7     2.3       4   100.4    ---
   2000   3    9.4     4.0       2    86.6    ---
   2000   4   ---      3.2       2   124.2    ---
   2000   5   13.8     6.0       0    58.2    ---
   2000   6   ---     ---     ---     55.6    ---
   2000   7   16.6    10.8       0    25.8    ---
   2000   8   17.5    10.6       0    99.6    ---
   2000   9   15.4    10.1       0   159.6    ---
   2000  10   11.6     6.2       0   186.8    ---
   2000  11    8.2     3.4       1   182.8    ---
   2000  12    7.0     3.2       8   189.6    ---
   2001   1   ---      1.5       7   100.2    ---
   2001   2   ---     ---     ---     94.7    ---
   2001   3    7.0     1.4       7    59.4    ---
   2001   4    8.9     3.2       1    64.2    ---
   2001   5   15.1     7.2       0    41.8    ---
   2001   6   14.7     8.1       0    81.4    ---
   2001   7   16.6    10.5       0    51.2    ---
   2001   8   17.2    10.8       0   113.2    ---
   2001   9   14.6     9.8       0    72.2    ---
   2001  10   14.0     9.4       0   148.6    ---
   2001  11   10.0     5.2       0   161.6    ---
   2001  12    7.4     2.4       6   123.4    ---
   2002   1    8.8     3.7       1   103.0    ---
   2002   2    7.8     2.6       2   202.0    ---
   2002   3    9.7     3.5       2    77.4    ---
   2002   4   11.0     4.5       3    96.2    ---
   2002   5   13.3     6.6       0   137.4    ---
   2002   6   15.2     9.5       0   151.0    ---
   2002   7   15.5    10.1       0    90.2    ---
   2002   8   17.6    11.2       0    71.2    ---
   2002   9   15.9     9.9       0    57.4    ---
   2002  10   10.9     6.3       0   248.2    ---
   2002  11    9.9     5.8       0   249.8    ---
   2002  12    7.0     4.1       2   105.4    ---
   2003   1    6.8     2.3       5   116.5    ---
   2003   2    6.7     2.1       4    61.8    ---
   2003   3   10.8     3.3       3    34.8    ---
   2003   4   12.0     5.6       0    43.2    ---
   2003   5   12.9     6.7       0   111.5    ---
   2003   6   16.9     9.9       0    52.0    ---
   2003   7   18.3    12.3       0    57.4    ---
   2003   8   18.5    11.7       0    25.0    ---
   2003   9   15.8     9.8       0    68.4    ---
   2003  10   11.0     6.3       0    73.8    ---
   2003  11    9.8     5.2       0   168.8    ---
   2003  12    7.8     3.4       4   108.8    ---
   2004   1    7.0     2.9       3   144.4    ---
   2004   2    7.5     2.2       6    54.5    ---
   2004   3    8.9     3.1       3    89.8    ---
   2004   4   10.8     5.3       0    96.6    ---
   2004   5   13.2     6.7       0    50.2    ---
   2004   6   15.9    10.1       0   139.2    ---
   2004   7   16.4    10.3       0    63.6    ---
   2004   8   17.4    12.2       0   118.6    ---
   2004   9   15.4    10.3       0   103.0    ---
   2004  10   11.1     6.2       0   171.8    ---
   2004  11    9.6     6.4       2   109.4    ---
   2004  12    8.6     3.5       2   128.6    ---
   2005   1    8.1     3.5       3   120.4    ---
   2005   2   ---     ---     ---     67.4    ---
   2005   3    9.5     4.7       2    69.8    ---
   2005   4   11.2     4.6       1    99.9    ---
   2005   5   12.7     5.5       0    86.0    ---
   2005   6   16.1    10.5       0    62.8    ---
   2005   7   17.0    11.0       0    34.0    ---
   2005   8   16.9    11.0       0   103.6    ---
   2005   9   16.0    10.6       0   107.6    ---
   2005  10   13.5     8.8       0   159.6    ---
   2005  11    9.3     3.7       4    77.4    ---
   2005  12    8.1     4.0       0   143.0    ---
   2006   1    7.3     2.7       5    67.8    ---
   2006   2    7.4     2.2       5    47.0    ---
   2006   3    7.4     2.0       6   169.0    ---
   2006   4    9.7     3.7       2    94.0    ---
   2006   5   13.0     6.6       0   114.0    ---
   2006   6   16.6     9.8       0    62.0    ---
   2006   7   19.9    11.9       0    64.8    ---
   2006   8   16.3    11.4       0   102.8    ---
   2006   9   16.8    11.0       0   115.6    ---
   2006  10   13.9     9.0       0   176.4    ---
   2006  11    9.3     4.5       0   183.4    ---
   2006  12    8.0     3.3       2   157.8    ---
   2007   1    8.3     3.5       2   143.0    ---
   2007   2    8.1     3.1       4   150.4    ---
   2007   3    9.2     2.9       2    91.6    ---
   2007   4   13.3     6.3       0    23.8    ---
   2007   5   13.7     6.4       0    89.8    ---
   2007   6   15.8     9.8       0   160.8    ---
   2007   7   16.3    10.1       0   122.2    ---
   2007   8   15.7    11.1       0   111.6    ---
   2007   9   14.7     9.7       0   112.2    ---
   2007  10   14.0     8.6       0    83.8    ---
   2007  11   10.1     6.4       0   107.0    ---
   2007  12    8.2     3.6       0   113.0    ---
   2008   1    7.4     2.8       2   268.0    ---
   2008   2    9.1     3.0       3    67.4    ---
   2008   3    7.8     2.4       3   212.4    ---
   2008   4    9.9     4.0       0    58.6    ---
   2008   5   15.4     8.0       0    25.0    ---
