Waddington
Location 4988E 3653N 68m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1971   5   15.7     6.6       0    39.9   229.1
   1971   6   15.4     8.4       0    46.4   138.8
   1971   7   22.0    12.1       0    23.1   235.7
   1971   8   19.6    11.7       0   103.4   140.1
   1971   9   19.0     9.8       0    19.5   163.6
   1971  10   15.4     7.5       0    26.0   138.7
   1971  11    8.7     2.6      12    55.1    88.7
   1971  12    8.1     3.6       5    25.2    40.9
   1972   1    5.4     1.1      10    48.7    51.1
   1972   2    6.1     1.2       6    25.2    36.3
   1972   3   10.1     2.1       5    79.3   132.1
   1972   4   11.5     4.9       0    37.7   106.3
   1972   5   14.8     6.8       0    62.4   184.7
   1972   6   16.2     8.4       0    59.2   163.0
   1972   7   18.9    10.8       0    58.6   156.5
   1972   8   19.6    10.8       0    17.8   196.5
   1972   9   15.2     8.0       0    54.4    94.9
   1972  10   13.9     6.6       1    16.3    85.7
   1972  11    9.1     3.6       7    47.4    76.2
   1972  12    7.4     2.1       5    55.6    39.6
   1973   1    6.4     1.8       7    22.2    41.0
   1973   2    7.6     0.8      11    16.9    89.5
   1973   3   10.3     2.5       4    12.1   111.2
   1973   4   11.0     3.1       4    48.7   165.8
   1973   5   15.4     7.0       0    52.1   197.7
   1973   6   20.2    10.4       0    95.8   269.3
   1973   7   19.7    11.8       0   115.9   132.2
   1973   8   20.9    11.8       0    31.8   182.4
   1973   9   18.4    10.6       0    43.5   154.9
   1973  10   12.5     5.7       1    35.3    99.2
   1973  11    8.2     2.6       7    28.9    92.3
   1973  12    7.4     1.3      11    39.8    57.5
   1974   1    8.4     1.7       4    47.4    71.0
   1974   2    8.0     2.2       4    44.4    61.8
   1974   3    8.5     1.9       5    33.7    99.5
   1974   4   10.7     3.4       1     7.0   136.3
   1974   5   15.9     6.0       0    24.1   221.3
   1974   6   17.6     9.1       0    53.7   197.0
   1974   7   19.2    10.8       0   100.3   157.9
   1974   8   19.9    11.0       0    80.8   197.3
   1974   9   15.8     8.2       0    57.2   144.4
   1974  10   10.4     4.9       0   103.4   100.2
   1974  11    8.8     3.1       2    62.7    52.1
   1974  12   10.0     4.8       2    33.8    57.1
   1975   1    9.0     3.3       3    51.9    40.8
   1975   2    6.5     1.1       9    21.6    32.9
   1975   3    7.2     1.6       8    84.3    92.6
   1975   4   11.9     4.7       4    66.6   125.9
   1975   5   13.2     5.7       0    45.8   192.2
   1975   6   19.9     8.8       0     9.9   267.5
   1975   7   22.1    12.7       0    22.7   201.1
   1975   8   24.8    13.5       0    21.2   250.0
   1975   9   17.9     9.5       0    34.0   139.5
   1975  10   13.6     5.8       1    18.3   105.3
   1975  11    8.7     2.2       7    42.8    77.7
   1975  12    7.5     2.4       7    51.5    61.7
   1976   1    7.7     2.5       8    45.2    55.4
   1976   2    6.8     1.7       7    18.1    53.8
   1976   3    7.9     1.2      13    22.4   114.9
   1976   4   11.6     4.0       3    17.7   146.4
   1976   5   16.1     7.5       0    53.7   147.4
   1976   6   22.8    11.5       0     6.2   270.8
   1976   7   24.2    12.3       0    17.4   271.5
   1976   8   22.7    11.5       0    18.9   238.9
   1976   9   16.9     9.6       0   115.2   105.4
   1976  10   13.3     7.4       0   131.6    68.5
   1976  11    8.2     2.5       3    34.6    71.7
   1976  12    3.6    -0.5      17    64.7    65.6
   1977   1    4.4     0.0      15    70.4    52.4
   1977   2    6.9     1.4       7   132.4    62.5
   1977   3    9.8     3.0       4    34.1    92.3
   1977   4   10.8     3.1       5    41.6   169.8
   1977   5   14.0     5.9       0    37.5   237.2
   1977   6   16.3     8.4       0    57.2   178.6
   1977   7   19.8    11.2       0    15.1   185.4
   1977   8   19.3    11.3       0    70.3   154.4
   1977   9   17.2     9.7       0    13.3   123.2
   1977  10   14.8     7.9       0    19.2   110.2
   1977  11    8.9     3.5       3    63.3    93.2
   1977  12    8.0     3.3       4    51.5    56.1
   1978   1    5.0     0.0      13    77.4    41.4
   1978   2    4.3    -1.2      16    50.4    59.3
   1978   3   10.6     2.9       3    44.7   121.0
   1978   4    9.3     2.4       4    30.9    92.9
   1978   5   15.2     6.1       0    48.0   219.1
   1978   6   17.9     9.5       0    83.0   169.2
   1978   7   18.4    10.5       0    59.6   139.5
   1978   8   18.8    11.2       0    67.4   134.3
   1978   9   18.1    10.1       0    32.0   149.6
   1978  10   15.3     8.2       0     8.3    84.0
   1978  11   11.2     5.0       5    19.3    89.6
   1978  12    5.6     0.7      15   163.0    31.1
   1979   1    2.1    -3.6      26    48.7    61.8
   1979   2    2.7    -1.4      25    56.0    57.7
   1979   3    7.6     1.2       7    68.8    87.7
   1979   4   11.4     3.9       2    42.8   124.3
   1979   5   14.6     5.9       3   102.1   189.4
   1979   6   18.5     9.7       0    16.5   193.5
   1979   7   20.9    11.4       0    24.1   182.5
   1979   8   19.5    11.0       0    83.3   168.5
   1979   9   18.2     9.2       0    33.4   185.3
   1979  10   14.7     6.8       1    67.1   117.8
   1979  11    9.2     3.1       6    39.1    70.1
   1979  12    7.5     3.0       5    91.0    62.8
   1980   1    4.2    -0.8      18    73.2    69.7
   1980   2    7.8     2.2       4    75.2    42.0
   1980   3    7.7     1.1       6    90.0    83.7
   1980   4   12.9     3.9       0    14.1   168.6
   1980   5   15.2     5.5       1    23.9   228.5
   1980   6   17.9    10.0       0   108.8   168.6
   1980   7   18.3    10.2       0    35.7   150.6
   1980   8   19.8    11.7       0   117.3   138.8
   1980   9   18.7    10.6       0    30.3   162.6
   1980  10   12.2     5.2       1    94.2   127.5
   1980  11    8.5     4.0       4    62.3    55.7
   1980  12    7.9     2.3       9    17.8    65.5
   1981   1    6.9     1.4      14    32.4    50.4
   1981   2    5.3     0.0      17    47.0    66.1
   1981   3   10.5     4.5       3   108.8    58.5
   1981   4   10.6     3.6       2    80.6   141.0
   1981   5   15.5     6.8       1    70.1   172.3
   1981   6   17.3     9.4       0    23.6   169.6
